GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,HttpRestHandler,762,441,113,39,189,127,79,23,8,18
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestArgument,1086,651,139,53,240,153,115,39,29,29
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,DataModelRestMethodHandler.COMMAND_TYPE,0,64,0,0,0,2,0,1,0,1
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestArgument.REST_FIELD,0,78,0,0,0,7,0,2,0,2
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RootOptionsRestMethodHandler,189,13,22,0,41,2,18,1,7,1
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,HttpRestHandler.METHOD,0,111,0,0,0,13,0,2,0,2
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestArgument.REST_GROUP,0,67,0,0,0,9,0,2,0,2
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestMethodHandler,89,173,13,11,30,44,12,11,4,7
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestArgument.REST_ROOT_FIELD,0,166,0,0,0,16,0,2,0,2
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestArgument.DATAMODEL,0,56,0,0,0,6,0,2,0,2
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestConfiguration.CRUD,1,76,1,1,0,6,1,3,0,3
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,DataModelRestMethodHandler,405,107,24,16,108,31,25,11,7,6
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,RestConfiguration,143,54,4,0,27,22,11,11,9,11
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest,HttpRestHandler.HttpCleanChannelFutureListener,10,0,0,0,5,0,2,0,2,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest.client,HttpRestClientSimpleInitializer,35,0,0,0,7,0,2,0,2,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest.client,HttpRestClientHelper,457,251,34,10,112,56,23,5,3,3
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest.client,RestFuture,13,8,0,0,6,4,4,2,4,2
Waarp Gateway Kernel,org.waarp.gateway.kernel.rest.client,HttpRestClientSimpleResponseHandler,140,110,19,13,34,29,15,6,2,3
Waarp Gateway Kernel,org.waarp.gateway.kernel.exception,HttpIncorrectRequestException,9,4,0,0,4,2,2,1,2,1
Waarp Gateway Kernel,org.waarp.gateway.kernel.exception,HttpIncorrectRetrieveException,16,0,0,0,8,0,4,0,4,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.exception,HttpForbiddenRequestException,13,0,0,0,6,0,3,0,3,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.exception,HttpInvalidAuthenticationException,13,0,0,0,6,0,3,0,3,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.exception,HttpMethodNotAllowedRequestException,13,0,0,0,6,0,3,0,3,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.exception,HttpNotFoundRequestException,13,0,0,0,6,0,3,0,3,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.database,WaarpActionLogger,157,58,19,3,51,17,12,4,0,4
Waarp Gateway Kernel,org.waarp.gateway.kernel.database,DbConstantGateway,3,0,0,0,1,0,1,0,1,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.session,DefaultHttpAuth,25,33,0,0,11,13,8,7,8,7
Waarp Gateway Kernel,org.waarp.gateway.kernel.session,HttpSession,32,78,2,0,14,21,11,10,10,10
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.data,DbTransferLog.Columns,0,114,0,0,0,3,0,1,0,1
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.data,DbTransferLog,2160,476,86,0,440,38,95,3,52,3
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.model,DbModelFactoryGateway,141,0,8,0,39,0,10,0,4,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.model,DbModelMariaDbKernel,27,0,0,0,10,0,6,0,6,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.model,DbModelMysqlKernel,348,0,8,0,99,0,13,0,9,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.model,DbModelPostgresqlKernel,205,0,6,0,54,0,10,0,7,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.model,DbModelOracleKernel,288,0,8,0,81,0,13,0,9,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.database.model,DbModelH2Kernel,235,0,6,0,61,0,10,0,7,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.commonfile,CommonDirImpl,8,5,0,0,1,2,1,1,1,1
Waarp Gateway Kernel,org.waarp.gateway.kernel.commonfile,CommonFileChunkedInput,98,0,2,0,33,0,8,0,7,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.commonfile,FilesystemBasedFileParameterImpl,11,0,0,0,3,0,2,0,2,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.commonfile,CommonFileImpl,13,0,0,0,4,0,2,0,2,0
Waarp Gateway Kernel,org.waarp.gateway.kernel.http,HttpWriteCacheEnable,130,249,20,8,36,66,14,6,1,5
Waarp Gateway Kernel,org.waarp.gateway.kernel.http,HttpRequestHandler,661,801,91,68,165,230,68,44,5,24
Waarp Gateway Kernel,org.waarp.gateway.kernel.http,HttpCleanChannelFutureListener,10,0,0,0,5,0,2,0,2,0
Waarp Gateway Kernel,org.waarp.gateway.kernel,DefaultHttpField,492,37,66,0,101,7,42,2,4,2
Waarp Gateway Kernel,org.waarp.gateway.kernel,HttpPage.PageRole,0,84,0,0,0,2,0,1,0,1
Waarp Gateway Kernel,org.waarp.gateway.kernel,HttpPageHandler,40,105,9,18,6,31,8,14,0,6
Waarp Gateway Kernel,org.waarp.gateway.kernel,HttpBusinessFactory,18,352,0,0,11,56,1,3,1,3
Waarp Gateway Kernel,org.waarp.gateway.kernel,AbstractHttpField.FieldRole,0,114,0,0,0,5,0,1,0,1
