GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Waarp OpenR66,org.waarp.openr66.dao.exception,DAOConnectionException,13,0,0,0,6,0,3,0,3,0
Waarp OpenR66,org.waarp.openr66.dao.exception,DAONoDataException,9,4,0,0,4,2,2,1,2,1
Waarp OpenR66,org.waarp.openr66.dao.exception,DAOException,9,4,0,0,4,2,2,1,2,1
Waarp OpenR66,org.waarp.openr66.protocol.utils,ChannelUtils,127,329,25,31,37,110,23,19,5,9
Waarp OpenR66,org.waarp.openr66.protocol.utils,ChannelCloseTimer,55,41,12,6,17,14,12,4,3,4
Waarp OpenR66,org.waarp.openr66.protocol.utils,R66Versions,0,72,0,0,0,8,0,2,0,2
Waarp OpenR66,org.waarp.openr66.protocol.utils,NbAndSpecialId,6,0,0,0,2,0,1,0,1,0
Waarp OpenR66,org.waarp.openr66.protocol.utils,R66ShutdownHook,2,4,0,0,2,2,1,1,1,1
Waarp OpenR66,org.waarp.openr66.protocol.utils,TransferUtils,715,70,85,7,233,21,52,4,5,3
Waarp OpenR66,org.waarp.openr66.protocol.utils,FileUtils,111,76,16,10,31,22,13,4,1,3
Waarp OpenR66,org.waarp.openr66.protocol.utils,Version,4,0,0,0,2,0,1,0,1,0
Waarp OpenR66,org.waarp.openr66.protocol.utils,ChannelUtils.new GenericFutureListener() {...},10,0,0,0,3,0,2,0,2,0
Waarp OpenR66,org.waarp.openr66.protocol.utils,R66Future,43,22,4,0,6,10,5,6,3,6
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,KeepAlivePacket,15,76,1,3,2,23,2,9,1,8
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,AuthentPacket,78,295,11,15,11,69,13,12,2,10
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,InformationPacket.ASKENUM,44,0,0,0,2,0,1,0,1,0
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,BlockRequestPacket,117,0,6,0,25,0,11,0,8,0
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,EndRequestPacket,83,135,7,7,14,40,9,11,3,10
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ValidPacket,170,12,8,0,36,5,13,1,9,1
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ConnectionErrorPacket,23,125,6,6,3,31,9,5,3,5
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,BusinessRequestPacket,55,153,4,4,13,40,8,9,4,9
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ShutdownPacket,159,0,16,0,37,0,17,0,9,0
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,RequestPacket.TRANSFERMODE,0,94,0,0,0,3,0,1,0,1
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,JsonCommandPacket,69,158,6,6,19,40,11,8,5,8
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,ErrorPacket,187,0,14,0,42,0,16,0,9,0
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,AbstractLocalPacket,71,214,26,22,18,52,26,8,5,5
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,DataPacket,93,215,12,12,15,59,14,17,4,15
Waarp OpenR66,org.waarp.openr66.protocol.localhandler.packet,InformationPacket,200,0,14,0,46,0,16,0,9,0
